16:21:00.962 [main] INFO  net.opentsdb.tsd.HttpQuery - [fake channel] HTTP /api/put?summary done in 734ms
16:21:01.068 [main] WARN  net.opentsdb.tsd.HttpQuery - [fake channel] Sending an empty result?! buf=EmptyChannelBuffer(ridx=0, widx=0, cap=0)
16:21:01.087 [main] INFO  net.opentsdb.tsd.HttpQuery - [fake channel] HTTP /api/put done in 39ms
16:21:01.128 [main] WARN  net.opentsdb.tsd.HttpQuery - [fake channel] Sending an empty result?! buf=EmptyChannelBuffer(ridx=0, widx=0, cap=0)
16:21:01.135 [main] INFO  net.opentsdb.tsd.HttpQuery - [fake channel] HTTP /api/put done in 20ms
16:21:01.154 [main] WARN  net.opentsdb.tsd.HttpQuery - [fake channel] Sending an empty result?! buf=EmptyChannelBuffer(ridx=0, widx=0, cap=0)
16:21:01.161 [main] INFO  net.opentsdb.tsd.HttpQuery - [fake channel] HTTP /api/put done in 9ms
16:21:01.178 [main] WARN  net.opentsdb.tsd.HttpQuery - [fake channel] Sending an empty result?! buf=EmptyChannelBuffer(ridx=0, widx=0, cap=0)
16:21:01.185 [main] INFO  net.opentsdb.tsd.HttpQuery - [fake channel] HTTP /api/put done in 8ms
16:21:01.215 [main] WARN  net.opentsdb.tsd.HttpQuery - [fake channel] Sending an empty result?! buf=EmptyChannelBuffer(ridx=0, widx=0, cap=0)
16:21:01.221 [main] INFO  net.opentsdb.tsd.HttpQuery - [fake channel] HTTP /api/put done in 15ms
16:21:01.252 [main] WARN  net.opentsdb.tsd.HttpQuery - [fake channel] Sending an empty result?! buf=EmptyChannelBuffer(ridx=0, widx=0, cap=0)
16:21:01.267 [main] INFO  net.opentsdb.tsd.HttpQuery - [fake channel] HTTP /api/put done in 17ms
16:21:01.306 [main] WARN  net.opentsdb.tsd.HttpQuery - [fake channel] Sending an empty result?! buf=EmptyChannelBuffer(ridx=0, widx=0, cap=0)
16:21:01.324 [main] INFO  net.opentsdb.tsd.HttpQuery - [fake channel] HTTP /api/put done in 23ms
16:21:01.349 [main] WARN  net.opentsdb.tsd.HttpQuery - [fake channel] Sending an empty result?! buf=EmptyChannelBuffer(ridx=0, widx=0, cap=0)
16:21:01.357 [main] INFO  net.opentsdb.tsd.HttpQuery - [fake channel] HTTP /api/put done in 16ms
16:21:01.375 [main] INFO  net.opentsdb.tsd.HttpQuery - [fake channel] HTTP /api/put?summary done in 4ms
16:21:01.398 [main] INFO  net.opentsdb.tsd.HttpQuery - [fake channel] HTTP /api/put?details done in 7ms
16:21:01.441 [main] INFO  net.opentsdb.tsd.HttpQuery - [fake channel] HTTP /api/put?summary&details done in 7ms
16:21:01.458 [main] WARN  net.opentsdb.tsd.HttpQuery - [fake channel] Sending an empty result?! buf=EmptyChannelBuffer(ridx=0, widx=0, cap=0)
16:21:01.466 [main] INFO  net.opentsdb.tsd.HttpQuery - [fake channel] HTTP /api/put done in 6ms
16:21:01.497 [main] WARN  net.opentsdb.tsd.HttpQuery - [fake channel] Sending an empty result?! buf=EmptyChannelBuffer(ridx=0, widx=0, cap=0)
16:21:01.504 [main] INFO  net.opentsdb.tsd.HttpQuery - [fake channel] HTTP /api/put done in 13ms
16:21:01.660 [main] WARN  net.opentsdb.tsd.PutDataPointRpc - Unknown metric: metric=doesnotexist ts=1365465600 value=42 host=web01
16:21:01.707 [main] INFO  net.opentsdb.tsd.HttpQuery - [fake channel] HTTP /api/put?details done in 44ms
16:21:01.745 [main] WARN  net.opentsdb.tsd.PutDataPointRpc - Metric name was empty: metric=null ts=1365465600 value=42 host=web01
16:21:01.764 [main] INFO  net.opentsdb.tsd.HttpQuery - [fake channel] HTTP /api/put?details done in 7ms
